iter	Passed	Remaining
0	172	172358
1	174	87061
2	175	58475
3	177	44169
4	179	35644
5	180	29922
6	182	25833
7	183	22773
8	185	20386
9	186	18474
10	188	16909
11	189	15612
12	191	14511
13	192	13572
14	194	12754
15	195	12036
16	197	11404
17	198	10839
18	200	10334
19	201	9878
20	203	9467
21	204	9092
22	205	8750
23	207	8437
24	209	8152
25	210	7887
26	211	7639
27	213	7407
28	214	7192
29	216	6993
30	217	6806
31	219	6631
32	220	6465
33	222	6311
34	223	6167
35	225	6029
36	226	5898
37	228	5773
38	229	5655
39	230	5542
40	232	5434
41	233	5334
42	235	5237
43	236	5149
44	238	5062
45	239	4977
46	241	4896
47	242	4818
48	244	4744
49	245	4671
50	247	4601
51	248	4534
52	250	4471
53	251	4409
54	253	4349
55	254	4291
56	256	4235
57	257	4181
58	258	4128
59	260	4076
60	261	4027
61	263	3980
62	264	3936
63	266	3891
64	267	3849
65	269	3807
66	270	3766
67	271	3717
68	272	3678
69	274	3644
70	275	3608
71	277	3573
72	278	3538
73	280	3505
74	281	3472
75	282	3440
76	284	3408
77	285	3377
78	287	3347
79	288	3318
80	289	3289
81	291	3261
82	292	3234
83	294	3208
84	295	3178
85	296	3153
86	297	3123
87	299	3100
88	300	3076
89	301	3053
90	303	3031
91	304	3009
92	306	2987
93	307	2966
94	309	2945
95	310	2925
96	312	2905
97	313	2885
98	314	2865
99	316	2846
100	317	2827
101	318	2803
102	319	2785
103	321	2768
104	322	2752
105	324	2735
106	325	2718
107	327	2701
108	328	2685
109	329	2669
110	331	2653
111	332	2637
112	334	2622
113	335	2606
114	336	2592
115	338	2576
116	339	2562
117	341	2549
118	342	2533
119	343	2519
120	345	2506
121	346	2493
122	347	2475
123	348	2462
124	350	2452
125	352	2445
126	353	2433
127	354	2417
128	356	2406
129	358	2397
130	359	2387
131	361	2376
132	362	2365
133	364	2354
134	365	2343
135	367	2332
136	368	2322
137	369	2310
138	371	2300
139	372	2291
140	374	2283
141	376	2274
142	377	2265
143	379	2256
144	381	2247
145	382	2239
146	384	2231
147	386	2223
148	387	2214
149	389	2206
