iter	Passed	Remaining
0	1	1382
1	2	1236
2	4	1343
3	5	1278
4	6	1214
5	6	1148
6	7	1107
7	8	1088
8	9	1062
9	10	1044
10	11	1050
11	12	1051
12	13	1054
13	14	1043
14	15	1036
15	16	1034
16	17	1033
17	18	1032
18	19	1022
19	20	1014
20	21	1015
21	22	1012
22	23	1005
23	24	998
24	25	1001
25	27	1016
26	28	1025
27	29	1024
28	30	1014
29	31	1011
30	32	1010
31	33	1011
32	34	1011
33	35	1005
34	36	999
35	37	993
36	38	989
37	39	987
38	40	987
39	41	988
40	42	984
41	43	981
42	43	976
43	45	981
44	46	981
45	47	986
46	48	984
47	49	980
48	50	983
49	51	979
50	52	975
51	53	973
52	55	984
53	57	1001
54	58	999
55	59	1008
56	60	1008
57	62	1012
58	63	1010
59	64	1006
60	65	1008
61	66	1005
62	67	999
63	67	993
64	68	988
65	70	998
66	71	998
67	72	997
68	73	993
69	74	988
70	75	985
71	76	983
72	77	982
73	78	982
74	79	979
75	80	975
76	81	971
77	81	969
78	83	968
79	84	970
80	85	971
81	86	969
82	87	963
83	88	968
84	91	983
85	92	980
86	93	976
87	93	972
88	94	968
89	95	963
90	96	964
91	97	963
92	98	961
93	99	961
94	100	961
95	101	959
96	102	956
97	103	952
98	104	948
99	105	945
100	105	941
101	106	937
102	107	935
103	108	932
104	109	930
105	109	927
106	110	925
107	111	924
108	113	924
109	114	925
110	115	923
111	116	921
112	117	918
113	117	915
114	118	912
115	119	909
116	120	906
117	120	904
118	121	901
119	122	899
120	123	897
121	124	895
122	125	892
123	125	890
124	126	887
125	127	884
126	128	882
127	129	880
128	130	879
129	131	877
130	131	875
131	132	873
132	133	870
133	134	868
134	135	865
135	135	862
136	136	860
137	137	859
138	138	857
139	139	855
140	140	854
141	140	851
142	141	849
143	144	856
144	145	858
145	146	857
146	147	855
147	148	854
148	149	853
149	150	851
150	151	849
151	151	847
152	152	845
153	153	844
154	154	843
155	155	843
156	156	841
157	157	840
158	158	839
159	159	839
160	160	836
161	161	834
162	162	832
163	162	830
164	164	830
165	165	829
166	165	827
167	166	825
168	167	823
169	168	821
170	169	820
171	170	818
172	170	817
173	172	817
174	173	817
175	174	816
176	175	814
177	176	812
178	176	811
179	177	809
180	178	807
181	179	805
182	180	804
183	181	803
184	182	802
185	182	800
186	183	798
187	184	796
188	185	794
189	185	792
190	186	791
191	187	790
192	188	789
193	189	787
194	190	786
195	191	786
196	192	784
197	193	784
198	194	783
199	195	781
200	196	779
201	196	778
202	197	776
203	198	775
204	199	773
205	200	771
206	200	769
207	201	768
208	202	767
209	203	765
210	204	764
211	205	762
212	205	760
213	206	758
214	207	757
215	208	757
216	209	756
217	210	754
218	211	752
219	211	751
220	212	750
221	213	748
222	214	746
223	214	744
224	215	742
225	216	741
226	217	740
227	218	739
228	219	738
229	219	736
230	220	734
